Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-08-03 09:45:57.754 +0900,"Success",0:00:12,0,0,0,"20230803_094557.754/LogFile.txt","","",1
2023-08-03 10:20:43.658 +0900,"Success",0:00:08,0,0,0,"20230803_102043.658/LogFile.txt","","",1
2023-08-03 13:11:08.245 +0900,"Aborted",0:00:12,1,0,0,"20230803_131108.245/LogFile.txt","","",0
2023-08-03 14:04:58.893 +0900,"Success",0:00:16,0,0,0,"20230803_140458.893/LogFile.txt","","",1
2023-08-03 15:03:54.020 +0900,"Success",0:00:11,0,0,0,"20230803_150354.020/LogFile.txt","","",1
2024-04-25 15:14:28.549 +0900,"Failure",0:00:14,1,0,1,"20240425_151428.549/LogFile.txt","","Image Search Error -- waitfor Error - Searching For Image: The OCR Engine is not available.  Please check the eggplant.log for more details",0
2024-04-25 15:27:46.221 +0900,"Success",0:02:03,0,2,0,"20240425_152746.221/LogFile.txt","","",1
2024-04-25 15:30:23.456 +0900,"Success",0:01:41,0,0,0,"20240425_153023.456/LogFile.txt","","",1
2024-04-25 15:32:14.502 +0900,"Success",0:01:42,0,0,0,"20240425_153214.502/LogFile.txt","","",1
2024-04-25 15:39:12.846 +0900,"Success",0:01:46,0,0,0,"20240425_153912.846/LogFile.txt","","",1
2024-04-25 15:42:05.862 +0900,"Success",0:01:32,0,0,0,"20240425_154205.862/LogFile.txt","","",1
2024-04-25 15:48:07.862 +0900,"Success",0:01:32,0,0,0,"20240425_154807.862/LogFile.txt","","",1
2024-04-25 15:55:59.918 +0900,"Success",0:01:36,0,0,0,"20240425_155559.918/LogFile.txt","","",1
2024-04-25 15:59:02.088 +0900,"Success",0:01:36,0,0,0,"20240425_155902.088/LogFile.txt","","",1
